s.Endo Acer rubrum,s.Endo Carya ovata,s.Epi Acer rubrum,s.Epi Carya ovata,s.Lit Acer rubrum,s.Lit Carya ovata,s.Soil Acer rubrum,s.Soil Carya ovata,index,stat,p.value
OTU_1541,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_42,0,0,0,0,0,0,0,1,8,0.368508036708492,0.903382877882152
OTU_90,0,0,0,0,0,0,1,0,7,0.774596669241483,0.152717837837838
OTU_178,0,0,1,0,0,0,0,0,3,0.625431902698582,0.301710431654676
OTU_218,0,0,0,0,0,0,1,0,7,0.44497190922574,0.889384810126582
OTU_1200,0,0,0,1,0,0,0,0,4,0.476731294622796,0.751201472031403
OTU_45,0,0,0,0,0,1,0,0,6,0.83177215617385,0.126375882352941
OTU_1167,0,0,0,0,0,0,0,1,8,0.491264472685442,0.544162649006622
OTU_295,0,0,0,0,0,0,1,0,7,0.443870167265836,0.895020463320463
OTU_191,0,0,1,0,0,0,0,0,3,0.836499176772609,0.0173117647058824
OTU_597,1,0,0,0,0,0,0,0,1,0.468830438642821,0.887354736328125
OTU_488,0,0,0,0,1,0,0,0,5,0.894427190999916,0.030978947368421
OTU_31,0,0,0,0,0,1,0,0,6,0.887836970470237,0.030978947368421
OTU_906,0,0,0,1,0,0,0,0,4,0.48954204734834,0.532675067385445
OTU_222,0,0,0,0,0,1,0,0,6,0.589767824619589,0.442686554621849
OTU_378,0,0,0,0,0,0,0,1,8,0.794066667176744,0.0825140186915888
OTU_115,0,0,0,0,1,0,0,0,5,0.882032681580533,0.0531867469879518
OTU_73,0,0,0,0,1,0,0,0,5,0.442430424870469,0.895020463320463
OTU_326,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_18,0,1,0,0,0,0,0,0,2,0.924203937388505,0.0628280898876405
OTU_358,1,0,0,0,0,0,0,0,1,0.628900385647254,0.583556915544676
OTU_112,0,0,0,0,0,1,0,0,6,0.803135217762533,0.230157692307692
OTU_260,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_411,0,0,0,0,0,1,0,0,6,0.476831648543416,0.583928571428571
OTU_219,0,0,1,0,0,0,0,0,3,0.686162349009459,0.207051769911504
OTU_149,0,0,1,0,0,0,0,0,3,0.832115612098618,0.0173117647058824
OTU_2885,0,0,0,0,0,1,0,0,6,0.637956655861885,0.424933163265306
OTU_57,0,0,0,0,1,0,0,0,5,0.890516253196807,0.0401318181818182
OTU_145,0,0,0,0,0,1,0,0,6,0.484841303982441,0.887354736328125
OTU_155,0,0,0,0,0,0,0,1,8,0.771151448298593,0.0905538461538462
OTU_671,0,1,0,0,0,0,0,0,2,0.519875244910036,0.569175466998755
OTU_381,0,0,1,0,0,0,0,0,3,0.855366528042844,0.0173117647058824
OTU_181,0,0,0,0,0,0,1,0,7,0.330535522059708,1
OTU_125,0,0,0,1,0,0,0,0,4,0.492614822140912,0.602972790697674
OTU_106,0,0,0,0,1,0,0,0,5,0.806803369488895,0.1021875
OTU_33,0,0,0,0,0,1,0,0,6,0.629694909811496,0.329166867469879
OTU_120,0,0,0,0,0,0,1,0,7,0.593925292227274,0.350984241245136
OTU_417,1,0,0,0,0,0,0,0,1,0.523722936566382,0.667222765072765
OTU_121,0,0,0,0,1,0,0,0,5,0.641688947919748,0.547335714285714
OTU_828,0,0,0,1,0,0,0,0,4,0.478493708376849,0.611669428891377
OTU_50,0,0,0,0,0,1,0,0,6,0.992769247155643,0.0113192307692308
OTU_118,0,0,0,0,1,0,0,0,5,0.863276388374087,0.0905538461538462
OTU_282,0,0,0,0,0,1,0,0,6,0.622686272427052,0.315685121107266
OTU_67,0,0,0,0,0,1,0,0,6,0.841061371296922,0.0856145454545455
OTU_186,0,0,0,1,0,0,0,0,4,0.719121850680646,0.181336363636364
OTU_68,0,0,0,1,0,0,0,0,4,0.691381442298813,0.0113192307692308
OTU_399,0,0,0,0,0,0,1,0,7,0.468988405707731,0.76017919921875
OTU_60,0,0,0,0,0,1,0,0,6,0.631543555305443,0.32445368852459
OTU_182,0,0,0,0,0,1,0,0,6,0.597094413916622,0.607328181818182
OTU_338,0,0,0,1,0,0,0,0,4,0.590764630798805,0.32445368852459
OTU_359,0,1,0,0,0,0,0,0,2,0.846836155406455,0.0401318181818182
OTU_16,0,0,0,0,1,0,0,0,5,0.97678658781775,0.0455957746478873
OTU_83,1,0,0,0,0,0,0,0,1,0.909775111170617,0.0113192307692308
OTU_44,0,0,0,0,0,1,0,0,6,0.773809077101631,0.152717837837838
OTU_274,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_35,0,0,1,0,0,0,0,0,3,0.801825839544889,0.094439552238806
OTU_49,0,1,0,0,0,0,0,0,2,0.532780102385346,0.856095211267606
OTU_946,0,0,0,0,0,0,0,1,8,0.457195557478173,0.647586853448276
OTU_209,0,0,0,0,0,0,1,0,7,0.626516850919416,0.463944267515924
OTU_123,0,0,0,0,1,0,0,0,5,0.651801135697764,0.32123593220339
