s.Endo,s.Epi,s.Lit,s.Soil,index,stat,p.value
OTU_181,0,0,0,1,4,0.447213595499958,0.1103
OTU_125,1,1,1,0,11,0.897527467855751,0.0001
OTU_91,1,0,0,0,1,0.790423876709263,0.0001
OTU_106,0,0,1,0,3,0.877602606766711,0.0001
OTU_33,0,0,1,0,3,0.547245239281601,0.0226
OTU_120,0,0,0,1,4,0.773531931048517,0.0001
OTU_417,1,1,0,0,5,0.602916613452255,0.125
OTU_121,0,0,1,1,10,0.774596669241483,0.0015
OTU_828,0,1,1,0,8,0.597614304667197,0.0319
OTU_50,0,0,1,0,3,0.703080152916249,0.0012
OTU_118,0,0,1,0,3,0.835954520019762,0.0002
OTU_282,0,0,1,1,10,0.791339279261924,0.0007
OTU_67,0,0,1,0,3,0.683709970788195,0.0078
OTU_186,0,1,0,0,2,0.778392380757538,0.0025
OTU_68,0,1,1,0,8,0.950740786574899,0.0001
OTU_399,0,0,0,1,4,0.544297117042657,0.0213
OTU_60,0,0,1,0,3,0.547722557505166,0.021
OTU_182,0,0,1,0,3,0.607918758874329,0.0131
OTU_338,0,1,1,0,8,0.794479136254928,0.0004
OTU_359,1,1,1,0,11,0.523194486146798,0.4355
OTU_16,0,0,1,0,3,0.83391318721679,0.0003
OTU_83,1,0,0,0,1,0.874224482898926,0.0006
OTU_44,0,0,1,0,3,0.632455532033676,0.0032
OTU_274,0,0,1,0,3,0.316227766016838,0.6069
OTU_35,1,1,0,0,5,0.784464540552736,0.0018
OTU_49,1,1,1,0,11,0.798610977126063,0.0133
OTU_946,0,0,0,1,4,0.632455532033676,0.0033
OTU_209,0,0,0,1,4,0.547722557505166,0.0184
OTU_123,0,0,1,0,3,0.628514960761175,0.0071
OTU_126,0,0,0,1,4,0.824707126179731,0.0002
OTU_415,0,0,1,0,3,0.547722557505166,0.0172
OTU_363,0,1,1,0,8,0.654653670707977,0.017
OTU_43,0,0,1,0,3,0.869851959964338,0.0003
OTU_27,0,0,0,1,4,0.547722557505166,0.0186
OTU_20,1,0,0,0,1,0.771914093577119,0.013
OTU_2349,0,0,1,1,10,0.316227766016838,0.5048
OTU_140,0,0,0,1,4,0.316227766016838,0.6101
OTU_101,0,0,0,1,4,0.773255375301411,0.0003
OTU_89,0,0,1,0,3,0.546039842138331,0.0342
OTU_132,0,0,0,1,4,0.632455532033676,0.0026
OTU_62,1,1,1,0,11,0.941611527585842,0.0001
OTU_2997,0,0,1,0,3,0.707106781186548,0.0001
OTU_75,0,1,1,0,8,0.843853727637223,0.0006
OTU_213,1,0,0,0,1,0.612372435695794,0.0028
OTU_686,0,0,0,1,4,0.707106781186548,0.0008
OTU_1434,0,0,1,1,10,0.387298334620742,0.3168
OTU_934,0,0,1,0,3,0.316227766016838,0.6075
OTU_84,0,0,1,0,3,0.445705282281014,0.1874
OTU_160,0,0,0,1,4,0.774596669241483,0.0002
OTU_114,0,1,1,0,8,0.799558124327434,0.001
OTU_224,0,0,0,1,4,0.316227766016838,0.6101
OTU_960,1,0,0,0,1,0.353553390593274,0.1702
OTU_176,0,0,0,1,4,0.62400363057714,0.0035
OTU_65,0,0,0,1,4,0.836416776048767,0.0001
OTU_34,1,0,0,0,1,0.705127274216117,0.0014
OTU_173,0,1,1,0,8,0.854184912542906,0.0003
OTU_937,1,1,1,0,11,0.866025403784439,0.0008
OTU_124,0,0,1,0,3,0.810708992568832,0.0001
OTU_215,0,1,0,0,2,0.467789094019604,0.1241
OTU_267,0,0,0,1,4,0.707106781186548,0.0005
OTU_456,1,0,1,0,6,0.517700743435775,0.2909
OTU_103,0,1,0,0,2,0.98238155999172,0.0001
OTU_119,0,0,0,1,4,0.547416823427476,0.0255
OTU_536,0,0,1,1,10,0.591607978309962,0.0158
OTU_815,0,0,0,1,4,0.547722557505166,0.0186
OTU_77,1,1,1,0,11,0.957427107756338,0.0001
OTU_153,0,1,1,0,8,0.534522483824849,0.1775
OTU_116,1,1,1,0,11,0.911610153869033,0.0002
OTU_210,0,0,0,1,4,0.447213595499958,0.1139
OTU_185,0,0,0,1,4,0.547722557505166,0.0211
OTU_212,0,0,0,1,4,0.316227766016838,0.6013
OTU_105,1,1,1,0,11,0.726483157256779,0.064
OTU_167,0,0,1,0,3,0.774596669241483,0.0005
OTU_2353,1,0,1,0,6,0.333333333333333,0.4084
OTU_2265,0,0,1,1,10,0.387298334620742,0.3481
OTU_281,0,1,0,0,2,0.777980601375404,0.0003
OTU_329,0,1,1,0,8,0.7319250547114,0.0148
OTU_2407,,,,,,,
OTU_253,0,0,1,0,3,0.632455532033676,0.0026
OTU_496,0,1,1,0,8,0.681385143869247,0.0065
OTU_53,1,1,1,0,11,0.89003753884888,0.0011
OTU_64,0,1,1,0,8,0.883030466101267,0.0002
OTU_139,0,0,0,1,4,0.547722557505166,0.0186
OTU_331,0,1,0,0,2,0.693756534969568,0.0123
OTU_1947,0,1,0,0,2,0.333333333333333,0.4111
OTU_2070,0,0,1,0,3,0.316227766016838,0.6007
OTU_325,0,0,0,1,4,0.774596669241483,0.0001
OTU_188,1,1,0,0,5,0.732332926046879,0.0068
OTU_241,0,0,0,1,4,0.836660026534076,0.0001
OTU_1420,0,0,0,1,4,0.447213595499958,0.1103
OTU_353,0,0,0,1,4,0.316227766016838,0.6187
OTU_70,0,0,1,0,3,0.506750115508578,0.1595
OTU_1282,0,0,1,0,3,0.316227766016838,0.6121
OTU_659,0,0,1,1,10,0.387298334620742,0.3085
OTU_287,0,1,1,0,8,0.714597561370768,0.0064
OTU_525,0,0,0,1,4,0.447213595499958,0.1103
OTU_1176,0,0,0,1,4,0.421637021355784,0.1194
OTU_66,0,1,1,0,8,0.963624111659432,0.0001
OTU_51,0,0,1,0,3,0.94433484140051,0.0001
OTU_621,0,0,0,1,4,0.632455532033676,0.0033
OTU_14,0,0,1,0,3,0.630916334005796,0.0114
OTU_226,0,1,1,0,8,0.866025403784439,0.0001
OTU_257,0,1,0,0,2,0.908513525158996,0.0001
OTU_251,1,1,0,0,5,0.894670883760025,0.0003
OTU_1301,1,0,0,0,1,0.329956008798045,0.4875
OTU_438,0,0,1,0,3,0.316227766016838,0.6069
OTU_739,0,0,0,1,4,0.547722557505166,0.0186
OTU_949,0,0,1,0,3,0.316227766016838,0.6075
OTU_3000,0,0,1,0,3,0.447213595499958,0.1112
OTU_206,0,0,1,1,10,0.316227766016838,0.5818
OTU_1888,0,0,1,1,10,0.670820393249937,0.0159
OTU_165,0,1,1,0,8,0.886405260427918,0.0001
OTU_207,0,0,0,1,4,0.836660026534076,0.0001
OTU_1703,0,1,0,0,2,0.235702260395516,1
OTU_283,1,1,0,0,5,0.770047424558147,0.0023
OTU_157,0,0,1,0,3,0.503115294937453,0.066
OTU_135,1,0,0,0,1,0.603277290260034,0.0143
OTU_2144,1,1,1,0,11,0.833333333333333,0.0011
OTU_547,1,0,0,0,1,0.570450018091415,0.0433
OTU_136,0,0,0,1,4,0.547722557505166,0.0186
OTU_117,0,0,1,0,3,0.447213595499958,0.1118
OTU_95,1,1,1,0,11,0.97182531580755,0.0001
OTU_409,1,0,1,0,6,0.39169633375215,0.4443
OTU_92,0,0,1,1,10,0.316227766016838,0.5849
OTU_174,0,0,1,1,10,0.316227766016838,0.5751
OTU_81,0,0,1,0,3,0.774596669241483,0.0001
OTU_270,1,1,1,0,11,0.552770798392567,0.1984
OTU_184,0,0,1,0,3,0.561687597999528,0.0244
OTU_700,0,0,0,1,4,0.621059003408119,0.0047
OTU_2826,0,0,1,0,3,0.706482073244834,0.0014
OTU_521,0,0,0,1,4,0.828251169633946,0.0001
OTU_130,1,1,1,0,11,0.74535599249993,0.0135
OTU_389,0,0,0,1,4,0.447213595499958,0.1112
OTU_440,1,1,1,0,11,0.577350269189626,0.184
OTU_54,0,0,0,1,4,1,0.0001
OTU_275,0,1,1,0,8,0.5,0.154
OTU_366,0,0,0,1,4,0.447213595499958,0.1112
OTU_608,0,0,0,1,4,0.447213595499958,0.1182
OTU_1322,1,1,1,0,11,0.333333333333333,0.7936
OTU_856,0,1,0,0,2,0.390184045988031,0.446
OTU_1225,0,0,0,1,4,0.547722557505166,0.0186
OTU_607,0,0,1,0,3,0.316227766016838,0.6053
OTU_284,0,0,0,1,4,0.707106781186548,0.0004
OTU_874,0,0,0,1,4,0.447213595499958,0.1112
OTU_782,0,0,1,0,3,0.316227766016838,0.6156
OTU_301,0,0,1,1,10,0.547722557505166,0.0512
OTU_441,0,0,1,0,3,0.447213595499958,0.1107
OTU_2123,0,0,1,0,3,0.544926609905682,0.0192
OTU_875,0,0,0,1,4,0.632455532033676,0.0034
OTU_574,1,1,1,0,11,0.785349948450895,0.0858
OTU_107,0,1,1,0,8,0.814333124976568,0.0004
OTU_137,0,0,1,0,3,0.591406173620455,0.0303
OTU_697,0,0,0,1,4,0.447213595499958,0.1172
