"","Df","SumOfSqs","R2","F","Pr(>F)"
"Substrate",3,4.24724312138339,0.226460893177446,9.43926559941273,0.001
"Plant_species",1,1.18630766312974,0.0632533352336339,7.9095117431749,0.001
"Site",4,1.69680762790294,0.090472939736034,2.82829662909699,0.001
"Substrate:Plant_species",3,1.9392063817863,0.103397520868005,4.30978014835067,0.001
"Substrate:Site",12,4.35522119355903,0.232218230341726,2.41981024015437,0.001
"Plant_species:Site",4,1.25587200779852,0.0669624715314083,2.09333014999682,0.001
"Substrate:Plant_species:Site",10,2.87432588474582,0.15325762819308,1.91640963349508,0.001
"Residual",8,1.19987953911658,0.0639769809186668,NA,NA
"Total",45,18.7548634194223,1,NA,NA
