"","Df","SumOfSqs","R2","F","Pr(>F)"
"Substrate",3,5.17827502754491,0.307871632322361,19.6210198278948,0.001
"Plant_species",1,1.26378117977499,0.075137448792494,14.3657929259747,0.001
"Site",4,1.45392025580234,0.0864420680708095,4.13179070475146,0.001
"Substrate:Plant_species",3,1.77851186797567,0.105740492535786,6.73896547403773,0.001
"Substrate:Site",12,3.47023326573167,0.206320903076232,3.2872682192502,0.001
"Plant_species:Site",4,0.925937011334373,0.0550511005288101,2.63135335060414,0.002
"Substrate:Plant_species:Site",10,2.04516022789511,0.121593931255784,2.32479710922831,0.001
"Residual",8,0.703772460754298,0.0418424234177221,NA,NA
"Total",45,16.8195912968134,1,NA,NA
