"","Df","SumOfSqs","R2","F","Pr(>F)"
"Substrate",3,4.24724312138339,0.226460893177446,4.50622758837101,0.001
"Plant_species",1,1.18630766312974,0.0632533352336339,3.77593570731357,0.001
"Site",4,1.69680762790294,0.090472939736034,1.35020549680544,0.013
"Residual",37,11.6245050070063,0.619812831852886,NA,NA
"Total",45,18.7548634194223,1,NA,NA
