"","Df","SumOfSqs","R2","F","Pr(>F)"
"Substrate",3,5.17827502754491,0.307871632322361,7.62099209868891,0.001
"Plant_species",1,1.26378117977499,0.075137448792494,5.57981161736591,0.001
"Substrate:Plant_species",3,1.77084939387127,0.105284924147163,2.60620171135627,0.001
"Residual",38,8.60668569562219,0.511705994737982,NA,NA
"Total",45,16.8195912968134,1,NA,NA
