"","Df","SumOfSqs","R2","F","Pr(>F)"
"Substrate",3,5.17827502754491,0.307871632322361,7.15689697467256,0.001
"Plant_species",1,1.26378117977499,0.075137448792494,5.24001814546417,0.001
"Site",4,1.45392025580234,0.0864420680708095,1.50709803334359,0.015
"Residual",37,8.92361483369113,0.530548850814335,NA,NA
"Total",45,16.8195912968134,1,NA,NA
