"","Genus","acer_endo","acer_epi","acer_lit","acer_soil","carya_endo","carya_epi","carya_lit","carya_soil"
"308","Lycoperdon",0,0,0,0.00337495781302734,0,0,0,0.010124873439082
"309","Lyomyces",0,0,0,0.00337495781302734,0,0,0,0
"310","Malassezia",0,0.00374995312558593,0,0,0,0,0,0
"311","Malotium",0,0,0.010124873439082,0,0,0.0224997187535156,0,0
"312","Marasmius",0,0,0,0,0,0.00937488281396482,0,0
"313","Mariannaea",0,0,0.00337495781302734,0.0539993250084374,0,0,0,0.0944988187647654
"314","Massarina",0,0,0,0,0,0.00749990625117186,0,0
"315","Meira",0,0.00187497656279296,0,0,0,0,0,0
"316","Melampsora",0,0,0,0,0,0.00937488281396483,0,0
"317","Melanochaeta",0,0,0,0,0,0,0,0.010124873439082
"318","Melanogaster",0,0,0,0.0708741140735741,0,0,0.00337495781302734,0
"319","Meliniomyces",0,0,0,0.0134998312521093,0,0,0,0.0168747890651367
"320","Membranomyces",0,0,0,0.654741815727303,0,0,0,0
"321","Memnoniella",0,0,0,0,0,0,0.0809989875126561,0
"322","Menispora",0,0,0,0,0,0,0,0.010124873439082
"323","Metacordyceps",0,0,0,0.00337495781302734,0,0,0,0.00674991562605467
"324","Metapochonia",0,0,0.010124873439082,0.0438744515693554,0,0,0,0.0371245359433007
"325","Metarhizium",0,0,0.0236247046911914,0.293621329733378,0,0.00374995312558593,0,0.428619642254472
"326","Metschnikowia",0,0,0,0,0.0674991562605468,0,0,0
"327","Microcera",0,0,0,0,0,0.00374995312558593,0.00337495781302734,0.020249746878164
"328","Microcyclospora",0,0.00374995312558593,0.00337495781302734,0,0,0,0,0
"329","Microcyclosporella",0.0168747890651367,0.211872351595605,0.16537293283834,0,0,0.052499343758203,0,0
"330","Microdochium",0,0.0056249296883789,0,0,0,0,0.010124873439082,0
"331","Microsporomyces",0,0,0,0,0,0,0,0
"332","Minimedusa",0,0,0,0.0168747890651367,0,0,0,0.00674991562605467
"333","Minimelanolocus",0,0,0.00674991562605467,0,0,0,0.00337495781302734,0.0337495781302734
"334","Minutisphaera",0,0,0,0.00337495781302734,0,0,0,0.128248396895039
"335","Moesziomyces",0,0,0,0,0,0.00187497656279296,0,0
"336","Mollisia",0,0,0,0.0911238609517381,0,0,0,0.0269996625042187
"337","Monilinia",0,0,0,0.0134998312521093,0,0,0,0.0134998312521093
"338","Monocillium",0,0,0,0,0,0,0,0.0337495781302734
"339","Montagnula",0,0,0,0,0,0,0,0
"340","Morchella",0,0,0,0,0,0,0,0.010124873439082
"341","Mortierella",0,0.00187497656279296,0.010124873439082,7.06041174485319,0,0,0.010124873439082,9.35875801552481
"342","Mrakia",0,0,0,0.010124873439082,0,0,0,0.00674991562605467
"343","Mucor",0,0,0,0.0776240296996288,0,0.0168747890651367,0.0134998312521093,0
"344","Muriphaeosphaeria",0.0674991562605467,0.0056249296883789,0,0,0.0731240859489256,0.0693741328233397,0.0236247046911914,0
"345","Mycena",0,0.0131248359395508,0.0776240296996287,0.010124873439082,0,0.00187497656279296,0.020249746878164,0.00337495781302734
"346","Mycoacia",0,0.0356245546930663,0.0472494093823827,0.00337495781302734,0,0.0693741328233397,0.0168747890651367,0.00674991562605467
"347","Mycoleptodiscus",0.0607492406344921,0,0.00674991562605467,0,0.0112498593767578,0,0.00337495781302734,0
"348","Mycosphaerella",0.192372595342558,0.294371320358496,0.030374620317246,0,1.46248171897851,1.54310571117861,0.40499493756328,0
"349","Mycosymbioces",0,0,0.040499493756328,0,0,0,0,0.00337495781302734
"350","Myriangium",0,0,0,0,0,0,0,0.0269996625042187
"351","Myrothecium",0,0,0.00337495781302734,0,0,0,0.489368882888964,0
"352","Myrtapenidiella",0,0,0.00337495781302734,0,0,0.0206247421907226,0,0
"353","Myxarium",0,0,0,0,0,0,0,0
"354","Naohidea",0,0,0,0,0,0.0206247421907226,0,0
"355","Naucoria",0,0,0,0,0,0,0,0.00337495781302734
"356","Nectria",0,0,0,0.35437057036787,0,0,0,0.10124873439082
"357","Nemania",0,0,0,0.0168747890651367,0,0,0,0
"358","Neoascochyta",0,0.0356245546930663,0.00337495781302734,0,0,0.0374995312558593,0.00674991562605467,0
"359","Neocatenulostroma",0,0.00374995312558593,0,0,0,0,0,0
"360","Neoceratosperma",0,0,0.00337495781302734,0,0,0,0,0
"361","Neocladophialophora",0,0.00187497656279296,0,0,0,0,0.0269996625042187,0
"362","Neodevriesia",0.0236247046911914,0.0562492968837889,0.0134998312521093,0,0.0112498593767578,0.054374320320996,0.0236247046911914,0
"363","Neofabraea",0,0,0,0,0,0.00749990625117186,0,0
"364","Neofavolus",0,0.00374995312558593,0,0,0,0,0,0
"365","Neofitzroyomyces",0,0.00749990625117186,0,0,0,0.00187497656279296,0,0
"366","Neophaeococcomyces",0,0,0,0,0,0,0,0
"367","Neosetophoma",0.0472494093823827,0,0,0,0.185622679716504,0.0937488281396483,0.239622004724941,0
"368","Niesslia",0,0,0.0337495781302734,0,0,0,0.00674991562605467,0
"369","Nigrograna",0,0.00374995312558593,0.00674991562605467,0,0,0.0131248359395508,0.020249746878164,0
"370","Nigrospora",0.010124873439082,0.0168747890651367,0.010124873439082,0.00674991562605467,0.0393745078186523,0.0131248359395508,0.00674991562605467,0.0269996625042187
"371","Oberwinklerozyma",0,0,0.16537293283834,0,0,0,0.00337495781302734,0
"372","Ochroconis",0,0,0.128248396895039,0,0,0,0.00674991562605467,0
"373","Oidiodendron",0,0,0,0.0438744515693554,0,0,0,0.168747890651367
"374","Omphalotus",0,0,0.00337495781302734,0,0,0.00187497656279296,0,0
"375","Operculomyces",0,0,0,0.0438744515693554,0,0,0,0.205872426594668
"376","Ophioceras",0,0,0,0,0.0731240859489256,0.00187497656279296,0.394870064124198,0
"377","Ophiocordyceps",0.00337495781302734,0.159373007837402,0,0,0.0056249296883789,0.00187497656279296,0,0
"378","Ophiognomonia",0.010124873439082,0.00937488281396482,0.00674991562605467,0,0,0.0562492968837889,0.0134998312521093,0
"379","Ophiosphaerella",0,0.00187497656279296,0,0,0,0.00374995312558593,0,0
"380","Orbilia",0.030374620317246,0.00187497656279296,0.00337495781302734,0,0,0.00187497656279296,0.00337495781302734,0
"381","Ossicaulis",0,0.00749990625117186,0.00337495781302734,0,0,0.00374995312558593,0.00337495781302734,0
"382","Ovicillium",0,0,0.00337495781302734,0.0134998312521093,0,0,0.00337495781302734,0.020249746878164
"383","Oxyporus",0,0,0,0,0,0,0,0
"384","Panellus",0,0.00374995312558593,0.00337495781302734,0,0,0.00374995312558593,0.040499493756328,0
"385","Papiliotrema",0,0.0131248359395508,0.0641241984475194,0.0506243671954101,0,0.0337495781302734,0.0236247046911914,0.0776240296996288
"386","Paracamarosporium",0.020249746878164,0.00749990625117186,0,0.00337495781302734,0,0.00374995312558593,0,0.00337495781302734
"387","Paraconiothyrium",0.00337495781302734,0.00374995312558593,0,0,0,0.0224997187535156,0.020249746878164,0
"388","Paraglomus",0,0,0,0.131623354708066,0,0,0,0.104623692203847
"389","Paramicrosporidium",0,0,0,0.0134998312521093,0,0,0,0
"390","Paramyrothecium",0,0,0,0.0337495781302734,0,0.00374995312558593,0.735740803239959,0.0134998312521093
"391","Paranamyces",0,0,0,0,0,0,0,0
"392","Paraophiobolus",0,0,0,0,0,0.0599992500093749,0.0236247046911914,0
"393","Paraphaeosphaeria",0.0168747890651367,4.57494281321484,0.010124873439082,0.00674991562605467,0.0056249296883789,0.00749990625117186,0.0168747890651367,0.00337495781302734
"394","Paraphoma",0,0.0056249296883789,0.0269996625042187,0.00337495781302734,0.0337495781302734,0.0149998125023437,0.030374620317246,0.0337495781302734
"395","Parasympodiella",0,0.00187497656279296,0,0,0.0056249296883789,0.00374995312558593,0.0269996625042187,0
"396","Parathyridaria",0,0,0,0,0,0,0,0
"397","Parmelia",0,0.00187497656279296,0,0,0,0.0112498593767578,0,0
"398","Parmotrema",0,0,0,0,0,0.0112498593767578,0,0
"399","Peltaster",0,0.116248546893164,0.462369220384745,0,0,0.052499343758203,0.00337495781302734,0
"400","Penicillifer",0,0,0,0.0134998312521093,0,0,0,0.020249746878164
"401","Penicillium",0.0539993250084374,0.00937488281396482,0.0134998312521093,0.327370907863652,0.427494656316796,0.176247796902539,0.0269996625042187,0.51974350320621
"402","Peniophora",0.0371245359433007,0.0693741328233397,0.010124873439082,0,0,0.0599992500093749,0.030374620317246,0.0269996625042187
"403","Peniophorella",0,0.0206247421907226,0.00674991562605467,0,0,0.00187497656279296,0.00674991562605467,0
"404","Periconia",0.502868714141073,0.127498406269922,0.0506243671954101,0,0.736865789177635,0.292496343795703,2.14309821127236,0
"405","Perusta",0,0.00749990625117186,0,0,0,0,0,0
"406","Pestalotiopsis",0,0.00749990625117186,0.0708741140735741,0,0,0.00187497656279296,0,0.010124873439082
"407","Pezicula",0,0,0.286871414107324,0.00674991562605467,0,0,0.00674991562605467,0.0269996625042187
"408","Peziza",0,0,0,0.539993250084374,0,0,0,1.00911238609517
"409","Phacidium",0,0,0,0,0,0,0,0
"410","Phaeoacremonium",0.0438744515693554,0.00187497656279296,0,0,0.0337495781302734,0.00187497656279296,0,0
"411","Phaeococcomyces",0,0,0.00337495781302734,0,0,0.00187497656279296,0.00337495781302734,0
"412","Phaeodothis",0,0,0,0,0,0.00374995312558593,0.00337495781302734,0
"413","Phaeophyscia",0,0.0224997187535156,0,0,0,0.0449994375070312,0,0
"414","Phaeosphaeria",0.175497806277422,0.234372070349121,0.0134998312521093,0,0.236247046911914,0.313121085986425,0.283496456294296,0
"415","Phaeotremella",0,0,0.0843739453256834,0,0,0,0,0
"416","Phanerochaete",0,0.0056249296883789,0,0,0,0.00749990625117186,0,0
"417","Phellinus",0,0.00187497656279296,0,0,0,0.00187497656279296,0,0
"418","Phialocephala",0,0,0,0.0472494093823827,0,0,0.00337495781302734,0.21599730003375
"419","Phialophora",0,0,0,0,0,0,0,0
"420","Phlebia",0,0.00374995312558593,0,0,0,0,0,0
"421","Phomatospora",0,0,0,0,0,0,0.020249746878164,0
"422","Phomopsis",0,0,0.00337495781302734,0,0,0.0131248359395508,0.0168747890651367,0
"423","Phyllachora",0.00674991562605467,0.0937488281396482,0.00337495781302734,0.00337495781302734,0,0.0131248359395508,0,0
"424","Phyllosticta",5.30205872426595,0.0299996250046874,0.739115761052987,0,0.0112498593767578,0.00749990625117186,0,0
"425","Phyllozyma",0,0.00187497656279296,0,0,0,0,0,0
"426","Physisporinus",0,0.0056249296883789,0.00337495781302734,0,0,0.0299996250046874,0,0.00337495781302734
"427","Piniphoma",0,0,0,0,0,0,0,0.00674991562605467
"428","Piptocephalis",0,0,0,0,0,0,0,0.00337495781302734
"429","Piskurozyma",0,0,0.188997637529531,0,0,0,0,0
"430","Plagiostoma",10.4117448531893,0.0599992500093749,0.536618292271347,0,0,0.0431244609442382,0,0.010124873439082
"431","Plectosphaerella",0.040499493756328,0.0712491093861327,0.104623692203847,0.0269996625042187,1.0124873439082,0.108748640641992,3.72932838339521,0.15187310158623
"432","Plenodomus",0,0.00374995312558593,0,0,0,0.00749990625117186,0.00337495781302734,0
"433","Pleuroceras",0.0236247046911914,0.00187497656279296,0.0573742828214647,0,0,0.0056249296883789,0,0
"434","Pleurotheciella",0,0,0,0,0,0,0,0.030374620317246
"435","Pleurotus",0,0.0224997187535156,0.00337495781302734,0,0,0.0187497656279297,0.00337495781302734,0
"436","Pluteus",0,0,0,0.00674991562605467,0.0112498593767578,0.00187497656279296,0,0.00337495781302734
"437","Pochonia",0,0,0,0,0,0,0,0.00674991562605467
"438","Podospora",0.00674991562605467,0.00937488281396483,0.00674991562605467,0.030374620317246,0.0056249296883789,0.00187497656279296,0,0.00337495781302734
"439","Polycephalomyces",0,0,0,0.0168747890651367,0,0,0,0.0168747890651367
"440","Polyporus",0,0,0,0,0,0,0.00337495781302734,0
"441","Polyscytalum",0,0,0.040499493756328,0,0,0,0.00674991562605467,0.00674991562605467
"442","Porodiplodia",0,0,0,0,0,0,0.010124873439082,0
"443","Porosphaerella",0,0,0,0.0337495781302734,0,0,0,0.0337495781302734
"444","Porotheleum",0,0.00187497656279296,0.330745865676679,0,0,0.00937488281396482,0.739115761052987,0.168747890651367
"445","Postia",0,0.00374995312558593,0.010124873439082,0.00337495781302734,0,0.0131248359395508,0.030374620317246,0.010124873439082
"446","Powellomyces",0,0,0,0,0,0,0,0
"447","Preussia",0,0,0,0.00674991562605467,0,0,0,0
"448","Proliferodiscus",0,0,0,0.00337495781302734,0,0,0,0
"449","Prosthemium",0,0,0.0337495781302734,0,0,0,0.0843739453256834,0
"450","Psathyrella",0,0,0.00674991562605467,0.0134998312521093,0,0.00187497656279296,0,1.13061086736416
"451","Pseudeurotium",0,0,0,0.185622679716504,0,0,0,0.175497806277422
"452","Pseudobensingtonia",0,0,0.0506243671954101,0,0,0,0,0
"453","Pseudocoleophoma",0,0,0.010124873439082,0,0,0,0.00674991562605467,0
"454","Pseudocosmospora",0,0,0.00337495781302734,0.00674991562605467,0.0056249296883789,0,0.00337495781302734,0
"455","Pseudodictyosporium",0,0,0,0,0,0,0.010124873439082,0
"456","Pseudogymnoascus",0,0,0,0.0168747890651367,0,0,0,0.0944988187647654
"457","Pseudohyphozyma",0,0,2.39959500506244,0,0.0168747890651367,0,0.00337495781302734,0
"458","Pseudoophiobolus",0,0,0,0,0.0112498593767578,0.0056249296883789,0,0
"459","Pseudophaeomoniella",0,0.00749990625117186,0.00337495781302734,0,0,0,0,0
"460","Pseudorobillarda",0,0,0.00337495781302734,0,0.0224997187535156,0,1.66047924400945,0
"461","Pseudosigmoidea",0,0,0.26662166722916,0,0,0,0.0978737765777928,0.020249746878164
"462","Pseudoveronaea",0.010124873439082,0.0899988750140623,0.15187310158623,0,0,0.0618742265721679,0,0
"463","Pyrenochaeta",0.00337495781302734,0,0.010124873439082,0,0,0,0,0
"464","Pyrenochaetopsis",0,0,0,0,0,0,0.114748565642929,0.00337495781302734
"465","Pyrenophora",0,0.00937488281396483,0,0,0,0,0,0
"466","Rachicladosporium",0,0.00187497656279296,0.0134998312521093,0,0.0337495781302734,0.0281246484418945,0.020249746878164,0
"467","Radulidium",0,0.0337495781302734,0,0,0,0.0881238984512694,0.0236247046911914,0
"468","Radulodon",0,0,0,0,0,0.00374995312558593,0,0
"469","Ramariopsis",0,0,0,0.0168747890651367,0,0,0,0.0539993250084374
"470","Ramicandelaber",0,0,0,0.00674991562605467,0,0,0,0.0168747890651367
"471","Ramophialophora",0,0,0,0,0,0,0,0.010124873439082
"472","Ramularia",13.3209584880189,21.4872314096074,3.99257509281134,0.00337495781302734,16.5654179322758,26.1540480743991,10.9652379345258,0.00337495781302734
"473","Readeriella",0,0,0.192372595342558,0,0,0,0.00674991562605467,0
"474","Remispora",0,0,0,0,0,0,0,0.00674991562605467
"475","Resinomycena",0,0,0.00337495781302734,0,0,0,0.00337495781302734,0
"476","Resupinatus",0,0,0,0,0,0,0,0
"477","Rhinocladiella",0,0.0131248359395508,0.00337495781302734,0,0,0.0299996250046874,0.00337495781302734,0
"478","Rhizomarasmius",0,0.00374995312558593,0,0,0,0.0056249296883789,0,0
"479","Rhizophagus",0,0,0,0.00337495781302734,0,0,0,0
"480","Rhizophlyctis",0,0,0,0.0134998312521093,0,0,0.00337495781302734,0.0168747890651367
"481","Rhizophydium",0,0,0,0.199122510968613,0,0,0,0.715491056361795
"482","Rhodosporidiobolus",0,0.00374995312558593,0,0,0,0.0056249296883789,0,0
"483","Rhodotorula",0,0.0112498593767578,0.546743165710429,0.030374620317246,0,0,0.00674991562605467,0.0168747890651367
"484","Rhytisma",2.51434357070537,0,0.809989875126561,0,0.0112498593767578,0,0,0
"485","Rosellinia",0,0.00937488281396483,0,0,0,0,0,0
"486","Ruinenia",0,0,0,0,0,0,0,0
"487","Russula",0,0,0.00337495781302734,2.54471819102261,0,0.00749990625117186,0.00337495781302734,3.61120485993925
"488","Rutstroemia",0,0,0,0,0,0,0,0
"489","Sagenomella",0,0,0,0,0,0,0,0.0134998312521093
"490","Saitozyma",0,0,0.0472494093823827,4.3334458319271,0,0,0.00337495781302734,5.14343570705366
"491","Sakaguchia",0,0,0,0.0269996625042187,0,0,0,0.0843739453256834
"492","Sanchytrium",0,0,0.00337495781302734,0.00674991562605467,0,0,0,0.040499493756328
"493","Saprochaete",0,0.00749990625117186,0,0,0,0,0,0
"494","Sarcoporia",0,0,0.00337495781302734,0.020249746878164,0,0,0.010124873439082,0
"495","Sarea",0,0,0,0,0,0.00187497656279296,0,0
"496","Sarocladium",0,0.00374995312558593,0.00337495781302734,0,0.0449994375070312,0.00937488281396482,0.0944988187647654,0
"497","Sawadaea",1.0496118798515,2.29497131285859,0,0,0,0.224997187535156,0,0
"498","Schizophyllum",0,0.00187497656279296,0,0,0,0,0,0
"499","Scleroderma",0,0,0,0.0641241984475194,0,0,0,0.0776240296996288
"500","Scleropezicula",0,0,0.020249746878164,0,0,0,0.134998312521093,0
"501","Scleroramularia",0.978737765777928,1.29560880488994,0.020249746878164,0,0,0.926238422019725,0.00337495781302734,0
"502","Sclerostagonospora",0.0809989875126561,0.00187497656279296,0.00337495781302734,0,0.0224997187535156,0.00937488281396482,0.00337495781302734,0
"503","Scopuloides",0,0.0056249296883789,0.00674991562605467,0,0,0.0187497656279296,0.00337495781302734,0
"504","Scutellinia",0,0,0,0.00337495781302734,0,0,0,0.104623692203847
"505","Scytalidium",0,0,0,0.00337495781302734,0,0,0,0.0472494093823827
"506","Sebacina",0,0.0131248359395508,0.334120823489706,1.70772865339183,0,0,0.00674991562605467,0.128248396895039
"507","Seimatosporium",1.8764765440432,0.142498218772265,0.0911238609517381,0,0.0449994375070312,0.0224997187535156,0.0843739453256834,0
"508","Seiridium",0.010124873439082,0.00187497656279296,0,0,0.0224997187535156,0.0056249296883789,0.00674991562605467,0
"509","Sepedonium",0,0,0,0.0134998312521093,0,0,0,0.010124873439082
"510","Septobasidium",0,0,0,0,0,0,0.00337495781302734,0
"511","Septoria",0.0371245359433007,0.163122960962988,0.010124873439082,0,0.123748453144336,0.155623054711816,0.0539993250084374,0
"512","Serendipita",0,0,0.0134998312521093,0.00674991562605467,0,0,0,0
"513","Setomelanomma",0,0,0,0,0,0,0,0
"514","Setophaeosphaeria",0,0,0,0,0,0,0,0
"515","Setophoma",0.0269996625042187,0.00749990625117186,0,0,0,0.0187497656279297,0.0134998312521093,0
"516","Simocybe",0,0,0,0,0,0,0,0.010124873439082
"517","Simplicillium",0,0.0112498593767578,0,0,0,0,0.00337495781302734,0
"518","Sirobasidium",0,0.00374995312558593,0,0,0,0,0.00337495781302734,0
"519","Sirococcus",0,0,0.00674991562605467,0,0,0,0,0
"520","Sistotrema",0,0.00374995312558593,0.00337495781302734,0,0,0.0112498593767578,0,0.0168747890651367
"521","Sistotremastrum",0,0.0056249296883789,0,0,0,0.00937488281396483,0,0
"522","Skvortzovia",0,0,0,0,0,0,0,0
"523","Slooffia",0,0,0.020249746878164,0,0,0,0,0
"524","Solicoccozyma",0,0,0,0.992237597030037,0,0,0.00337495781302734,1.09686128923388
"525","Spegazzinia",0,0,0,0,0,0.0056249296883789,0,0
"526","Sphaerellopsis",0,0,0,0,0,0.0056249296883789,0,0
"527","Sphaeronaemella",0,0,0,0,0,0,0.0337495781302734,0
"528","Sphaerulina",0.030374620317246,0.0731240859489256,0,0,5.12993587580155,0.275621554730566,0.850489368882889,0
"529","Sporidesmiella",0,0,0.0168747890651367,0.00337495781302734,0,0,0,0.00337495781302734
"530","Sporobolomyces",0,0.0206247421907226,0.00337495781302734,0,0,0,0,0
"531","Sporothrix",0,0,0,0,0,0,0,0.00337495781302734
"532","Spumatoria",0,0,0,0.010124873439082,0,0,0,0.00674991562605467
"533","Stachybotrys",0,0,0.00337495781302734,0,0,0,0.00674991562605467,0.0134998312521093
"534","Stagonospora",0,0,0,0,0,0.0299996250046874,0.0472494093823827,0
"535","Stagonosporopsis",0,0,0.010124873439082,0,0.140623242209472,0.0881238984512694,0.205872426594668,0
"536","Staphylotrichum",0,0,0,0,0,0,0,0.00337495781302734
