"","Genus","acer_endo","acer_epi","acer_lit","acer_soil","carya_endo","carya_epi","carya_lit","carya_soil"
"1","Ampelomyces",24.1511981100236,38.851389357633,0.138373270334121,0,0,4.53744328195898,0.030374620317246,0.00337495781302734
"2","Archaeorhizomyces",0,0.262496718791015,0,10.7998650016875,0.0056249296883789,0.00187497656279296,0.00674991562605467,13.3918326020925
"3","Clavulinopsis",0,0,0.0134998312521093,2.6290921363483,0,0.00187497656279296,0.0539993250084374,6.33817077286534
"4","Colletotrichum",0.010124873439082,0,0.955113061086736,0.00674991562605467,0.224997187535156,0.00374995312558593,2.78434019574755,0.00674991562605467
"5","Dothiora",1.41073236584543,0.684366445419432,0.840364495443807,0.0134998312521093,0,2.03997450031875,0.104623692203847,0
"6","Erysiphe",0.00674991562605467,0.0187497656279297,0,0,0.725615929800878,11.3848576892789,0.0134998312521093,0
"7","Exobasidium",0.161997975025312,2.46934413319834,0.728990887613905,0,0.410619867251659,4.10619867251659,0.496118798515018,0
"8","Golubevia",0.0506243671954101,0.701241234484569,0.141748228147148,0,0.0168747890651367,4.64431694603817,0.229497131285859,0
"9","Hansfordia",0.924738440769491,1.52060599242509,0.587242659466757,0,0.106873664079199,0.178122773465332,0.205872426594668,0
"10","Inocybe",0,0,0.0168747890651367,9.06851164360446,0,0.00374995312558593,0.0168747890651367,3.61795477556531
"11","Lareunionomyces",0,0,4.31319608504894,0,0,0,0.010124873439082,0
"12","Mortierella",0,0.00187497656279296,0.010124873439082,7.06041174485319,0,0,0.010124873439082,9.35875801552481
"13","Mycosphaerella",0.192372595342558,0.294371320358496,0.030374620317246,0,1.46248171897851,1.54310571117861,0.40499493756328,0
"14","Paraphaeosphaeria",0.0168747890651367,4.57494281321484,0.010124873439082,0.00674991562605467,0.0056249296883789,0.00749990625117186,0.0168747890651367,0.00337495781302734
"15","Periconia",0.502868714141073,0.127498406269922,0.0506243671954101,0,0.736865789177635,0.292496343795703,2.14309821127236,0
"16","Phyllosticta",5.30205872426595,0.0299996250046874,0.739115761052987,0,0.0112498593767578,0.00749990625117186,0,0
"17","Plagiostoma",10.4117448531893,0.0599992500093749,0.536618292271347,0,0,0.0431244609442382,0,0.010124873439082
"18","Plectosphaerella",0.040499493756328,0.0712491093861327,0.104623692203847,0.0269996625042187,1.0124873439082,0.108748640641992,3.72932838339521,0.15187310158623
"19","Ramularia",13.3209584880189,21.4872314096074,3.99257509281134,0.00337495781302734,16.5654179322758,26.1540480743991,10.9652379345258,0.00337495781302734
"20","Rhytisma",2.51434357070537,0,0.809989875126561,0,0.0112498593767578,0,0,0
"21","Russula",0,0,0.00337495781302734,2.54471819102261,0,0.00749990625117186,0.00337495781302734,3.61120485993925
"22","Saitozyma",0,0,0.0472494093823827,4.3334458319271,0,0,0.00337495781302734,5.14343570705366
"23","Sawadaea",1.0496118798515,2.29497131285859,0,0,0,0.224997187535156,0,0
"24","Scleroramularia",0.978737765777928,1.29560880488994,0.020249746878164,0,0,0.926238422019725,0.00337495781302734,0
"25","Seimatosporium",1.8764765440432,0.142498218772265,0.0911238609517381,0,0.0449994375070312,0.0224997187535156,0.0843739453256834,0
"26","Sphaerulina",0.030374620317246,0.0731240859489256,0,0,5.12993587580155,0.275621554730566,0.850489368882889,0
"27","Taphrina",0,1.50748115648554,0.0607492406344921,0.00337495781302734,0,2.1055986800165,0.141748228147148,0
"28","Tomentella",0,0.00937488281396482,0,1.59635504556193,0,0.00937488281396482,0.00337495781302734,1.05973675329058
"29","Tuber",0,0,0,3.29058386770165,0,0,0,5.26830914613567
"30","Xenodactylaria",0,0,0,0,0,0,5.45055686803915,0
"31","Other",37.0469119136011,23.5215809802377,85.7576780290246,58.6162672966588,73.5290808864889,41.369482881464,72.2375970300371,52.0317246034425
