"","Genus","gen_sum"
"1","Ampelomyces",0.030374620317246
"2","Archaeorhizomyces",0.00674991562605467
"3","Clavulinopsis",0.0539993250084374
"4","Colletotrichum",2.78434019574755
"5","Dothiora",0.104623692203847
"6","Erysiphe",0.0134998312521093
"7","Exobasidium",0.496118798515018
"8","Golubevia",0.229497131285859
"9","Hansfordia",0.205872426594668
"10","Inocybe",0.0168747890651367
"11","Lareunionomyces",0.010124873439082
"12","Mortierella",0.010124873439082
"13","Mycosphaerella",0.40499493756328
"14","Paraphaeosphaeria",0.0168747890651367
"15","Periconia",2.14309821127236
"16","Phyllosticta",0
"17","Plagiostoma",0
"18","Plectosphaerella",3.72932838339521
"19","Ramularia",10.9652379345258
"20","Rhytisma",0
"21","Russula",0.00337495781302734
"22","Saitozyma",0.00337495781302734
"23","Sawadaea",0
"24","Scleroramularia",0.00337495781302734
"25","Seimatosporium",0.0843739453256834
"26","Sphaerulina",0.850489368882889
"27","Taphrina",0.141748228147148
"28","Tomentella",0.00337495781302734
"29","Tuber",0
"30","Xenodactylaria",5.45055686803915
"31","Other",72.2375970300371
