"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Substrate    ",3,7.05568776786942,2.35189592262314,7.67477880531247,0.000413257684137128
"Plant_species",1,1.52348888095645,1.52348888095645,4.97149557564302,0.0319207043812369
"Site         ",4,2.46325073321434,0.615812683303584,2.00953880841362,0.11327619307032
"Residuals    ",37,11.3384569568078,0.306444782616427,NA,NA
