"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Substrate    ",3,670.353571159816,223.451190386605,4.73157308183163,0.00682054433593312
"Plant_species",1,230.873561207037,230.873561207037,4.88874158881772,0.0332922658537058
"Site         ",4,212.161482922848,53.040370730712,1.12312845577417,0.360457340604863
"Residuals    ",37,1747.34573498417,47.2255604049775,NA,NA
