OTU ID	233	265	259	226	231	244	237	213	268	238	257	234	252	218	255	216	230	235	240	241	245	236	242	212	251	248	217	243	229	223	258	264	214	256	254	239	215	261	260	247	210	267	249	263	211	262	227	225	250	228	222	220	232	246	224	219	266	221
OTU_2	21881	1	0	16523	0	0	0	2309	0	10	0	0	16595	0	0	8824	23175	1	0	1	1	2	1059	2131	4527	5	37331	0	20631	2	0	0	6	1	2282	0	0	0	0	0	0	1	27	1	0	0	0	4427	1831	0	4153	2320	0	0	0	0	0	0
OTU_892	0	39	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_785	0	7	32	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_150	0	0	0	108	0	0	42	253	0	144	0	8	0	7	0	6	543	2	0	1	0	0	65	324	0	0	9	31	396	142	0	0	2	0	0	6	0	0	0	0	42	0	0	0	2	0	59	39	0	41	7	9	0	0	0	0	0	0
OTU_7	1886	0	0	29895	47	1	0	1	2	0	0	0	0	0	318	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	2	1	2	1	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	7	441	1	1319	1447	556	3	5597	1	1415	2102	1502	6	492	366	292	1	218	887	2458	1238	599	391	1303	114	47	262	1620	11	0	1666	0	921	44	937	2	11	403	647	7	904	9	135	15	497	34	603	440	29	60	0	14	15	1	0	0
OTU_22	0	0	0	0	0	130	1207	84	0	6098	0	176	34	333	0	37	0	24	0	9	442	656	0	111	0	645	4	2	4	372	0	0	296	0	0	5	220	0	0	177	27	0	18	0	44	0	309	3	12	354	0	6	0	25	11	0	0	1
OTU_5	0	1	0	2776	0	2888	9126	6389	1	3618	0	1626	1995	2725	587	6854	3557	16	3	851	2824	3016	12056	8680	650	1256	3938	21	2989	6424	0	0	2000	0	772	99	3029	0	1	3222	3815	0	1727	0	1030	0	1616	895	679	2866	876	564	0	566	155	17	0	0
OTU_19	0	3464	336	0	0	0	2	0	3895	4	0	1	0	0	0	0	0	0	0	69	0	0	10	0	0	0	0	26	0	0	894	215	0	0	0	0	0	516	127	0	0	2440	0	98	0	1838	0	0	0	0	0	0	0	0	0	0	0	0
OTU_647	0	0	0	8	0	242	1672	64	0	186	0	55	19	58	0	20	0	18	0	22	1310	26	2	165	0	0	1	0	1	1892	0	0	379	0	0	0	593	0	0	116	211	0	0	0	47	0	46	3	0	97	8	4	0	191	46	1	0	0
OTU_4	0	0	0	1173	0	1632	16030	1999	2	15982	2	898	1720	1138	0	1107	3727	12	0	349	2032	4430	4948	3456	782	2857	470	345	3580	4330	0	0	652	0	636	59	1122	0	0	4800	992	4	704	0	244	0	1853	415	171	2776	784	528	0	670	113	4	0	0
OTU_71	1	0	0	1761	19	1	1	0	1	3	902	1	0	0	1	0	1	1	2	0	0	1	1	2	0	0	0	0	0	0	1	0	2	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_290	0	16	81	0	0	0	15	0	11	93	0	74	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	7	0	0	146	265	0	0	0	0	0	25	1	8	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2748	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1	0	0	12	0	1	12763	23787	135	1	50526	0	11644	100	68	1520	39	0	14066	0	220	22545	10475	4	115	298	14565	16	18	8	193	0	0	632	0	0	175	539	0	6	4372	254	0	587	0	94	0	350	0	121	252	11	6	0	245	2	0	0	0
OTU_79	0	0	0	520	0	2	286	48	0	623	0	59	715	22	0	173	49	10	23	37	0	82	125	125	51	0	117	0	111	77	0	0	11	0	49	209	0	0	0	114	0	0	13	0	0	0	0	258	6	0	46	25	0	0	0	0	0	0
OTU_32	0	0	0	0	0	0	452	0	0	28	0	774	0	0	0	0	0	6266	180	8	0	55	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_162	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1153	347	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
