OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_2826	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Coleophoma	
OTU_2827	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita flavorubescens
OTU_2828	Fungi	Ascomycota	Dothideomycetes				
OTU_2829	Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Vararia	
OTU_2830	Fungi						
OTU_2831	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	Subulicystidium brachysporum
OTU_2832	Fungi	Ascomycota					
OTU_2833	Fungi	Basidiomycota	Tremellomycetes				
OTU_2834	Fungi	Blastocladiomycota					
OTU_2835	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma sp 
OTU_2836	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_2837	Fungi						
OTU_2838	Fungi	Basidiomycota	Microbotryomycetes	Incertae_sedis	Incertae_sedis	Colacogloea	Colacogloea sp 
OTU_2839	Fungi	Ascomycota	Sordariomycetes				
OTU_2840	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus brasilianum
OTU_2841	Fungi						
OTU_2842	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Ceriporia	Ceriporia humilis
OTU_2843	Fungi						
OTU_2844	Fungi	Rozellomycota					
OTU_2845	Fungi						
OTU_2846	Fungi	Basidiomycota					
OTU_2847	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_2848	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	
OTU_2849	Fungi	Monoblepharomycota	Sanchytriomycetes	Sanchytriales	Sanchytriaceae		
OTU_2850	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Incertae_sedis	Spumatoria	Spumatoria longicollis
OTU_2851	Fungi	Ascomycota	Sordariomycetes				
OTU_2852	Fungi	Ascomycota	Leotiomycetes				
OTU_2853	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
