Root,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_88,Root,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Aureobasidium,Aureobasidium_pullulans|SH206629.06FU
OTU_89,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH210863.06FU
OTU_90,Root,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_coerulea|SH219852.06FU
OTU_91,Root,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiales_unidentified,Hysterangiales_unidentified_1,Hysterangiales_sp|SH233926.06FU
OTU_92,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH201643.06FU
OTU_93,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_pubescens|SH222751.06FU
OTU_94,Root,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_unidentified,Cantharellales_unidentified_1,Cantharellales_sp|SH236819.06FU
OTU_95,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH206981.06FU
OTU_96,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH222155.06FU
OTU_97,Root,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_pygmaea|SH208091.06FU
OTU_98,Root,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Atractiellales_unidentified,Atractiellales_unidentified_1,Atractiellales_sp|SH239170.06FU
OTU_99,Root,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_globisporum|SH216505.06FU
OTU_100,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Myrothecium,Myrothecium_sp_HZ_6|SH199487.06FU
OTU_101,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_humilis|SH218044.06FU
OTU_102,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH191096.06FU
OTU_103,Root,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Lalaria,Lalaria_inositophila|SH219275.06FU
OTU_104,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH217298.06FU
OTU_105,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH212705.06FU
OTU_106,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Dermateaceae_unidentified,Dermateaceae_sp|SH209324.06FU
OTU_107,Root,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_heimaeyensis|SH198057.06FU
OTU_108,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH195092.06FU
OTU_109,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH202146.06FU
OTU_110,Root,Fungi,Ascomycota,Leotiomycetes,Leotiales,Bulgariaceae,Holwaya,Holwaya_mucida|SH209290.06FU
OTU_111,Root,Fungi,Ascomycota,Dothideomycetes,Microthyriales,Microthyriaceae,Tothia,Tothia_fuscella|SH195931.06FU
OTU_112,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma_sp|SH215426.06FU
OTU_113,Root,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH208246.06FU
OTU_114,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_victoriae|SH198055.06FU
OTU_115,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209266.06FU
OTU_116,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH215422.06FU
OTU_117,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Phlogicylindrium,Phlogicylindrium_sp|SH189868.06FU
OTU_118,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH223975.06FU
OTU_119,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_lanatodisca|SH215203.06FU
OTU_120,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apodus,Apodus_sp|SH222737.06FU
OTU_121,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Mycoarthris,Mycoarthris_sp|SH209211.06FU
OTU_122,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania_sp_JK_2013|SH237563.06FU
OTU_123,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Dermateaceae_unidentified,Dermateaceae_sp|SH209324.06FU
OTU_124,Root,Fungi,Ascomycota,Leotiomycetes,Leotiales,Leotiaceae,Alatospora,Alatospora_sp|SH207341.06FU
OTU_125,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH227811.06FU
OTU_126,Root,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon_porosum|SH195343.06FU
OTU_127,Root,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_alleghaniensis|SH214040.06FU
OTU_128,Root,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Cryptodiscus,Cryptodiscus_tabularum|SH234410.06FU
OTU_129,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,Lachnum_sp|SH228622.06FU
OTU_130,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiaceae,Exobasidium,Exobasidium_miyabei|SH204841.06FU
OTU_131,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Ceramothyrium,Ceramothyrium_carniolicum|SH238238.06FU
OTU_132,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH205925.06FU
OTU_133,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiaceae,Exobasidium,Exobasidium_gracile|SH224185.06FU
OTU_134,Root,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Glomerellaceae,Colletotrichum,Colletotrichum_fuscum|SH229540.06FU
OTU_135,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis_caroliniana|SH237443.06FU
OTU_136,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp|SH197158.06FU
OTU_137,Root,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Incertae_sedis_20,Ophiognomonia,Ophiognomonia_sp_CBP23C|SH219337.06FU
OTU_138,Root,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium_capitatum|SH212070.06FU
OTU_139,Root,Fungi,Ascomycota,Leotiomycetes,Geoglossales,Geoglossaceae,Geoglossum,Geoglossum_cookeanum|SH208492.06FU
OTU_140,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholosporum,Tricholosporum_porphyrophyllum|SH209045.06FU
OTU_141,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH231238.06FU
OTU_142,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Hansfordia,Hansfordia_pulvinata|SH220799.06FU
OTU_143,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH212349.06FU
OTU_144,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209312.06FU
OTU_145,Root,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Codinaeopsis,Codinaeopsis_sp|SH223025.06FU
OTU_146,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_unidentified,Chaetothyriales_unidentified_1,Chaetothyriales_sp|SH236766.06FU
OTU_147,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_violacea|SH217392.06FU
OTU_148,Root,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporales_unidentified,Polyporales_unidentified_1,Polyporales_sp|SH203365.06FU
OTU_149,Root,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Pseudeurotiaceae,Pseudeurotiaceae_unidentified,Pseudeurotiaceae_sp|SH222309.06FU
OTU_150,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Ceramothyrium,Ceramothyrium_carniolicum|SH238238.06FU
OTU_151,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae_unidentified,Leptosphaeriaceae_sp|SH206994.06FU
OTU_152,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH194646.06FU
OTU_153,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU
OTU_154,Root,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Glomerellaceae,Glomerella,Glomerella_tucumanensis|SH229539.06FU
OTU_155,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH220880.06FU
OTU_156,Root,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_globosa|SH190404.06FU
OTU_157,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU
OTU_158,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hymenogaster,Hymenogaster_parksii|SH190738.06FU
OTU_159,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH206983.06FU
OTU_160,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH205925.06FU
OTU_161,Root,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Synchytriaceae,Synchytrium,Synchytrium_endobioticum|SH234051.06FU
OTU_162,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma_sp|SH196221.06FU
OTU_163,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Ilyonectria,Ilyonectria_mors-panacis|SH217303.06FU
OTU_164,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_sp_MAB_2010a|SH235796.06FU
OTU_165,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_hungarica|SH196970.06FU
OTU_166,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetes_unidentified,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_sp|SH240668.06FU
OTU_167,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,Nectria_magnispora|SH217378.06FU
OTU_168,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_sp_LC_2007_1|SH196967.06FU
